,ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
1,-0.5865702294847754,-0.8888888888888888,Graduation,Single,-0.151645142839941,1.0,1.0,08-03-2014,-0.22,-0.3381893860561915,-0.21875,-0.2824074074074074,-0.2127659574468085,-0.21875,-0.3829787234042553,0.0,-0.75,-0.25,-0.6,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.23528886507723903,-0.2777777777777778,Graduation,Together,0.6090339865739487,0.0,0.0,21-08-2013,-0.46,0.5254942767950052,1.28125,0.2777777777777778,2.106382978723404,0.40625,0.3829787234042553,-0.5,1.0,0.0,1.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.12920796499687473,0.7777777777777778,Graduation,Together,-0.7446190433185828,1.0,0.0,10-02-2014,-0.46,-0.3381893860561915,-0.125,-0.2175925925925926,-0.0425531914893617,-0.15625,-0.40425531914893614,0.0,-0.5,-0.5,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-0.02402000178587374,0.6111111111111112,PhD,Married,0.20805864113910713,1.0,0.0,19-01-2014,0.9,-0.001040582726326743,1.09375,0.2361111111111111,0.723404255319149,0.59375,-0.19148936170212766,1.5,0.25,0.25,0.2,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.3549424055719261,-0.16666666666666666,Master,Together,0.3350943737017972,0.0,1.0,09-09-2013,-0.66,0.7211238293444329,1.0625,0.14351851851851852,-0.2553191489361702,1.0625,-0.2127659574468085,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-0.8024823644968301,0.05555555555555555,Graduation,Divorced,0.12804419157710947,0.0,1.0,13-11-2012,-0.3,0.1279916753381894,1.78125,0.44907407407407407,0.8085106382978723,1.28125,0.06382978723404255,1.0,0.75,0.25,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.1283150281275114,0.8333333333333334,PhD,Married,-0.5396760889852193,1.0,0.0,08-05-2013,-0.34,-0.20291363163371487,0.0625,-0.05092592592592592,-0.19148936170212766,-0.21875,-0.02127659574468085,0.0,0.0,-0.5,-0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-0.9057058665952317,0.3333333333333333,Basic,Married,-1.3209759474999248,0.0,0.0,13-11-2012,0.2,-0.3485952133194589,0.25,-0.25925925925925924,-0.02127659574468085,-0.21875,-0.1702127659574468,-0.5,-0.5,-0.5,-0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.4860255379944638,-1.0,Master,Divorced,0.2399981938047503,1.0,1.0,15-11-2013,0.08,0.12382934443288242,-0.1875,-0.06481481481481481,-0.19148936170212766,-0.09375,-0.2127659574468085,0.5,0.5,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,-0.5160282168050718,0.9444444444444444,Graduation,Married,-1.0252716818688101,0.0,0.0,10-10-2012,-0.22,-0.3548387096774194,0.1875,-0.23148148148148148,-0.1276595744680851,-0.21875,-0.40425531914893614,-0.5,-0.75,-0.5,-0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.763907491740334,0.5555555555555556,Graduation,Married,-0.28692916704295734,1.0,1.0,24-12-2012,0.04,-0.25078043704474506,-0.09375,-0.2222222222222222,-0.2127659574468085,0.15625,-0.425531914893617,0.5,-0.25,-0.5,-0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,-0.5679971426020181,0.8333333333333334,2n Cycle,Single,-0.5288991239953039,1.0,0.0,03-11-2012,0.74,-0.35275754422476585,0.28125,-0.2222222222222222,0.3829787234042553,0.5,0.3191489361702128,0.0,-0.5,-0.25,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.6967586391642111,0.6666666666666666,Graduation,Married,-0.43172581956109457,0.0,0.0,08-08-2012,-0.16,-0.18210197710718,-0.1875,0.027777777777777776,1.2127659574468086,0.9375,0.5106382978723404,-0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
